Project Name,Checkpoint Name,Created On,FileName,Lines,Statements,BranchStatements,LineswithComments,ClassesDefined,ClassMethodsImplemented,MethodStatements,LineNumberofMostComplexFunction,MaximumComplexity,LineNumberofDeepestBlock,MaximumBlockDepth,AverageBlockDepth,AverageComplexity,Functions,Statementsatblocklevel0,Statementsatblocklevel1,Statementsatblocklevel2,Statementsatblocklevel3,Statementsatblocklevel4,Statementsatblocklevel5,Statementsatblocklevel6,Statementsatblocklevel7,Statementsatblocklevel8,Statementsatblocklevel9
tridameasures,Baseline,04 Apr 2016,packages/datacard/hm.hpp,142,50,0,3,1,14,12,22,1,49,2,1.08,1,1,8,30,12,0,0,0,0,0,0,0
tridameasures,Baseline,04 Apr 2016,packages/datacard/hm_endpoint.hpp,78,26,0,3,1,5,4,18,1,26,2,0.81,1,2,9,13,4,0,0,0,0,0,0,0
tridameasures,Baseline,04 Apr 2016,packages/datacard/hm_endpoints.hpp,91,40,5,3,1,5,11,42,3,48,3,1.33,1.5,1,9,14,12,5,0,0,0,0,0,0
tridameasures,Baseline,04 Apr 2016,packages/datacard/internal_sw_parameters.hpp,111,40,0,3,1,11,10,20,1,36,2,1.08,1,1,7,23,10,0,0,0,0,0,0,0
tridameasures,Baseline,04 Apr 2016,packages/datacard/monitor.hpp,80,29,0,3,1,7,6,19,1,28,2,0.93,1,1,8,15,6,0,0,0,0,0,0,0
tridameasures,Baseline,04 Apr 2016,packages/datacard/plugin.hpp,76,25,0,3,1,5,4,19,1,33,2,0.88,1,1,7,14,4,0,0,0,0,0,0,0
tridameasures,Baseline,04 Apr 2016,packages/datacard/plugins.hpp,84,33,4,3,1,4,8,20,3,29,4,1.09,1.6,1,10,13,8,1,1,0,0,0,0,0
tridameasures,Baseline,04 Apr 2016,packages/datacard/t_datacard.cpp,226,91,7,3,0,0,0,6,8,164,5,1.99,8,1,5,6,70,6,3,1,0,0,0,0
tridameasures,Baseline,04 Apr 2016,packages/datacard/tcpu.hpp,183,67,0,3,1,17,16,27,1,49,2,1.19,1,1,11,32,24,0,0,0,0,0,0,0
tridameasures,Baseline,04 Apr 2016,packages/datacard/tcpu_endpoint.hpp,96,32,0,3,1,7,6,19,1,31,2,0.91,1,2,9,17,6,0,0,0,0,0,0,0
tridameasures,Baseline,04 Apr 2016,packages/datacard/tcpu_endpoints.hpp,94,40,5,3,1,5,11,45,3,51,3,1.33,1.5,1,9,14,12,5,0,0,0,0,0,0
tridameasures,Baseline,04 Apr 2016,packages/datacard/trigger_parameters.hpp,173,64,0,3,1,19,18,24,1,48,2,1.17,1,1,7,39,18,0,0,0,0,0,0,0
tridameasures,Baseline,04 Apr 2016,packages/datacard/tsc.hpp,50,17,0,3,1,3,2,18,1,25,2,0.65,1,1,8,7,2,0,0,0,0,0,0,0
tridameasures,Baseline,04 Apr 2016,packages/datacard/tsv.hpp,66,23,0,3,1,5,4,18,1,26,2,0.83,1,1,8,11,4,0,0,0,0,0,0,0
tridameasures,Baseline,04 Apr 2016,packages/DataFormats/f_dataformat_p2.hpp,145,64,1,14,0,0,0,58,2,23,1,0.63,1.08,13,24,40,0,0,0,0,0,0,0,0
tridameasures,Baseline,04 Apr 2016,packages/DataFormats/f_dataformat_p3.hpp,327,104,2,25,0,0,0,69,2,155,2,0.61,1.07,27,42,61,1,0,0,0,0,0,0,0
tridameasures,Baseline,04 Apr 2016,packages/DataFormats/s_dataformat_p2.hpp,174,64,0,99,5,2,0,44,1,27,1,0.69,1,0,20,44,0,0,0,0,0,0,0,0
tridameasures,Baseline,04 Apr 2016,packages/DataFormats/s_dataformat_p3.hpp,158,60,0,72,5,2,0,52,1,32,1,0.63,1,0,22,38,0,0,0,0,0,0,0,0
tridameasures,Baseline,04 Apr 2016,packages/DataFormats/t_time_p3.cpp,41,19,2,1,0,0,0,6,3,12,3,1.74,3,1,4,1,10,4,0,0,0,0,0,0
